label,value
cash_withdrawal_amount_max$,2000000
cash_withdrawal_amount_min$,10000
cash_withdrawal_amount_min_atm$,20000
cash_withdrawal_amount_multiple$,10000
cash_withdrawal_amount_restricted$,30000

debit_purchase_amount_min$,100000
debit_purchase_credit_card_length,16
debit_purchase_installments_max,60
debit_purchase_installments_min,2

directed_payment_amount_min$,1

money_order_amount_max$,2000000
money_order_amount_min$,10000
money_order_amount_min_atm$,20000
money_order_amount_multiple$,10000
money_order_amount_restricted$,30000
money_order_document_max_length,12
money_order_document_min_length,5

otp_default_length,8

password_length,4
password_max_consecutive_length,2
password_max_digit_repeat,2

pay_loan_amount_max$,999999999999999
pay_loan_amount_min$,1

payment_service_amount_max$,500000
payment_service_schedule_amount_min$,1000
payment_service_schedule_amount_multiple$,1000
payment_registered_service_amount_max$,3000000
payment_unregistered_service_amount_max$,500000
payment_others_service_amount_max$,1500000

pocket_goal_max$,999999999999999
pocket_goal_min$,5000
pocket_name_max_high_length,15
pocket_name_max_length,10
pocket_name_min_length,1
pocket_open_amount_max$,999999999999999
pocket_open_amount_min$,1000
pocket_pay_min$,1
pocket_quota_max$,999999999999999
pocket_quota_min$,5000
pocket_transfer_min$,1

qr_pay_installments_field_max,36
qr_pay_installments_field_min,1

recharge_amount_max$,50000
recharge_amount_min$,1000
recharge_amount_multiple$,1000
recharge_phone_first_character,3
recharge_phone_length,10

service_pay_amount_min$,1

transfer_contacts_amount_max$,999999999999999
transfer_invoice_min_length,2
transfer_invoice_max_length,25
transfer_note_min_length,2
transfer_note_max_length,25
transfer_others_account_max_length,20
transfer_phone_number_first_character,3
transfer_phone_number_length,10
transfer_to_avv_phone_max$,500000
transfer_to_other_accounts_max$,500000
transfer_value_to_send_min$,1000
transfer_villas_account_max_length,9
transfiya_amount_max$,5000000
transfiya_amount_min$,1
transfiya_daily_max,15
cel2cel_amount_max$,5000000
cel2cel_amount_min$,1
breb_amount_max$,11552000

update_installments_field_max,36
update_installments_field_min,1

use_quota_amount_min$,1000

rating_frequency_in_days,60

tdd_min_amount$,1
tdd_max_amount$,3000000
tdd_max_nickname_length$,20
tdd_max_reissue,1

tcv_min_amount$,1
tcv_max_cards$,2
tcv_max_nickname_length$,25

favorites_max_nickname_length$,10
favorites_max$,7

qr_authorization_max_otp_time$,180

qr_pay_dale_amount_max$,5000000
qr_pay_dale_amount_min$,1

bill_twenty_thousand$,20000
bill_fifty_thousand$,50000
bill_one_hundred_thousand$,100000

cel_to_cel_max_amount,8000000
foreign_deposit_max_amount,8
foreing_deposit_max$, 5
contact_time_to_active,15
product_time_to_active,15

push_notification_ttl$,90000

min_value_to_cancel_account$,1

card_enrollment_tokenization_ttl,7000

breb_amount_max$,11552000
