codigo,departamento,municipio
05001,Antioquia,Medellín
05002,Antioquia,Abejorral
05004,Antioquia,Abriaquí
05021,Antioquia,Alejandría
05030,Antioquia,Amagá
05031,Antioquia,Amalfi
05034,Antioquia,Andes
05036,Antioquia,Angelópolis
05038,Antioquia,Angostura
05040,Antioquia,Anorí
05042,Antioquia,Santa Fé De Antioquia
05044,Antioquia,Anzá
05045,Antioquia,Apartadó
05051,Antioquia,Arboletes
05055,Antioquia,Argelia
05059,Antioquia,Armenia
05079,Antioquia,Barbosa
05086,Antioquia,Belmira
05088,Antioquia,Bello
05091,Antioquia,Betania
05093,Antioquia,Betulia
05101,Antioquia,Ciudad Bolívar
05107,Antioquia,Briceño
05113,Antioquia,Buriticá
05120,Antioquia,Cáceres
05125,Antioquia,Caicedo
05129,Antioquia,Caldas
05134,Antioquia,Campamento
05138,Antioquia,Cañasgordas
05142,Antioquia,Caracolí
05145,Antioquia,Caramanta
05147,Antioquia,Carepa
05148,Antioquia,El Carmen De Viboral
05150,Antioquia,Carolina
05154,Antioquia,Caucasia
05172,Antioquia,Chigorodó
05190,Antioquia,Cisneros
05197,Antioquia,Cocorná
05206,Antioquia,Concepción
05209,Antioquia,Concordia
05212,Antioquia,Copacabana
05234,Antioquia,Dabeiba
05237,Antioquia,Donmatías
05240,Antioquia,Ebéjico
05250,Antioquia,El Bagre
05264,Antioquia,Entrerríos
05266,Antioquia,Envigado
05282,Antioquia,Fredonia
05284,Antioquia,Frontino
05306,Antioquia,Giraldo
05308,Antioquia,Girardota
05310,Antioquia,Gómez Plata
05313,Antioquia,Granada
05315,Antioquia,Guadalupe
05318,Antioquia,Guarne
05321,Antioquia,Guatapé
05347,Antioquia,Heliconia
05353,Antioquia,Hispania
05360,Antioquia,Itagüí
05361,Antioquia,Ituango
05364,Antioquia,Jardín
05368,Antioquia,Jericó
05376,Antioquia,La Ceja
05380,Antioquia,La Estrella
05390,Antioquia,La Pintada
05400,Antioquia,La Unión
05411,Antioquia,Liborina
05425,Antioquia,Maceo
05440,Antioquia,Marinilla
05467,Antioquia,Montebello
05475,Antioquia,Murindó
05480,Antioquia,Mutatá
05483,Antioquia,Nariño
05490,Antioquia,Necoclí
05495,Antioquia,Nechí
05501,Antioquia,Olaya
05541,Antioquia,Peñol
05543,Antioquia,Peque
05576,Antioquia,Pueblorrico
05579,Antioquia,Puerto Berrío
05585,Antioquia,Puerto Nare
05591,Antioquia,Puerto Triunfo
05604,Antioquia,Remedios
05607,Antioquia,Retiro
05615,Antioquia,Rionegro
05628,Antioquia,Sabanalarga
05631,Antioquia,Sabaneta
05642,Antioquia,Salgar
05647,Antioquia,San Andrés De Cuerquía
