pais,abreviatura,capital
Afganistán,AFG,Kabul
Albania,ALB,Tirana
Alemania,DEU,Berlín
Andorra,AND,Andorra la Vieja
Angola,AGO,Luanda
Anguila,AIA,The Valley
Antigua y Barbuda,ATG,St. John's
Arabia Saudita,SAU,Riad
Argelia,DZA,Argel
Argentina,ARG,Buenos Aires
Armenia,ARM,Ereván
Aruba,ABW,Oranjestad
Australia,AUS,Canberra
Austria,AUT,Viena
Azerbaiyán,AZE,Baku
Bahamas,BHS,Nassau
Bahrein,BHR,Manama
Bangladés,BGD,Daca
Barbados,BRB,Bridgetown
Bélgica,BEL,Bruselas
Belice,BLZ,Belmopán
Benín,BEN,Porto-Novo
Bermudas,UMB,Hamilton
Bielorrusia,BLR,Minsk
Birmania,MMR,Naipyidó
Bolivia,BOL,La Paz
Bosnia y Herzegovina,BIH,Sarajevo
Botsuana,BWA,Gaborone
Brasil,BRA,Brasilia
Brunéi,BRN,Bandar Seri Begawan
Bulgaria,BGR,Sofía
Burkina Faso,BFA,Uagadugú
Burundi,BDI,Bujumbura
Bután,BTN,Timbu
Cabo Verde,CPV,Praia
Camboya,KHM,Phnom Penh
Camerún,CMR,Yaundé
Canadá,CAN,Ottawa
Catar,QAT,Doha
Chad,TCD,N'Djamena
Chile,CHL,Santiago
China,CHN,Pekín
Chipre,CYP,Nicosia
Ciudad del Vaticano,VAT,Ciudad del Vaticano
Colombia,COL,
Comoras,COM,Moroni
Congo,COG,Brazzaville
Corea del Norte,PRK,Pyongyang
Corea del Sur,KOR,Seúl
Costa de Marfil,CIV,Yamoussoukro
Costa Rica,CRI,San José
Croacia,HRV,Zagreb
Cuba,CUB,La Habana
Dinamarca,DNK,Copenhague
Dominica,DMA,Roseau
Ecuador,ECU,Quito
Egipto,EGY,El Cairo
El Salvador,SLV,San Salvador
Emiratos Árabes Unidos,ARE,Abu Dabi
Eritrea,ERI,Asmara
Eslovaquia,SVK,Bratislava
Eslovenia,SVN,Liubliana
España,ESP,Madrid
Estados Unidos de América,EUA,Washington, D.C.
Estonia,EST,Tallin
Etiopía,ETH,Addis Abeba
Filipinas,PHL,Manila
Finlandia,FIN,Helsinki
Fiyi,FJI,Suva
Francia,FRA,París
Gabón,GAB,Libreville
Gambia,GMB,Banjul
Georgia,GEO,Tiflis
Ghana,GHA,Accra
Granada,GRD,San Jorge
Grecia,GRC,Atenas
Groenlandia,GRL,Nuuk
Guadalupe,GLP,Basse-Terre
Guam,GUM,Hagåtña
Guatemala,GTM,Ciudad de Guatemala
Guayana Francesa,GUF,Cayenne
Guinea Ecuatorial,GNQ,Malabo
Guinea-Bisáu,GNB,Bissau
Haití,HTI,Puerto Príncipe
Honduras,HND,Tegucigalpa
Hong Kong,HKG,Hong Kong
India,IND,Nueva Delhi
Indonesia,IDN,Yakarta
Irak,IRQ,Bagdad
Irán,IRN,Teherán
Irlanda,IRL,Dublín
Islandia,ISL,Reykjavík
Islas Caimán,CYM,George Town
Islas Feroe,FRO,Tórshavn
Islas Marshall,MHL,Majuro
Islas Salomón,SLB,Honiara
Islas Vírgenes Británicas,VGB,Road Town
Islas Vírgenes Americanas,VIR,Charlotte Amalie
Israel,ISR,Jerusalén
Italia,ITA,Roma
