value, label
ABGD,ABOGADO
ADMR,ADMINISTRADOR
ALMA,ALMACENISTA
ANAL,ANALISTA
ASIS,ASISTENTE
AUDR,AUDITOR
AUXR,AUXILIAR
CAJR,CAJERO
COMT,COMISIONISTA
COMS,COMUNICADOR SOCIAL
CONS,CONSULTOR/ASESOR
CONT,CONTADOR
CONR,CONTRALOR
COOR,COORDINADOR
DIBJ,DIBUJANTE
DIRT,DIRECTOR
DISR,DISEÑADOR
DOCT,DOCENTE Y/O PROFESOR
EDIT,EDITOR
EJUN,EJECUTIVO JUNIOR
ESEN,EJECUTIVO SENIOR
ENTR,ENTRENADOR / CAPACITADOR
GTED,GERENTE / DIRECTOR DIVISIÓN
GTEA,GERENTE/ DIRECTOR ÁREA
GRAL,GERENTE/ DIRECTOR GENERAL
IMPS,IMPULSADORA
INGR,INGENIERO
INSP,INSPECTOR
INTR,INTERVENTOR
JEFA,JEFE AREA/SECCIÓN/DEPTO/LOCAL
MEDC,MEDICO
MENS,MENSAJERO
MERC,MERCADERISTA
MESR,MESERO
MOPR,MIEMBRO DIRECTIVO
OPER,OPERARIO
PRAC,PRACTICANTE
PEPR,PREPARADOR DE ALIMENTOS
PRES,PRESIDENTE/DIRECTOR EJECUTIVO
PROG,PROGRAMADOR
PROM,PROMOTOR
RECP,RECEPCIONISTA
REDA,REDACTOR
REPO,REPORTERO
REPR,REPRESENTANTE DE VENTAS
RLEG,REPRESENTANTE LEGAL
REVI,REVISOR FISCAL
SECR,SECRETARIA
SDIR,SUBDIRECTOR GENERAL
SGTE,SUBGERENTE DE ÁREA
SPNR,SUPERNUMERARIO
SUPE,SUPERVISOR
TECN,TECNICO
TESR,TESORERO
TRAD,TRADER/NEGOCIADOR
VEND,VENDEDOR
VICE,VICEPRESIDENTE
VISI,VISITADOR MEDICO
WEBM,WEBMASTER
RESI,RESIDENTE
