nit, nura, name, icon
8600108972, 3234, Acción Cultural Popular, ACPO
8600073988, 3677, Casa de la madre, CASADELA
8600110480, 817, Concilio Asambleas de Dios, CONCILIO
8605338350, 2091, Corp. Matamoros, MATAMOROS
9002943928, 1853, Equinnova, EQUINNOVA
8600359922, 46, Fundación Cardioinfantil, DFCI
9002353791, 7447, Fundación Héroes de Colombia, FUNDHERCOL
9001774387, 5605, Fundación Juan Pablo Gutierrez, FUNJUANPGC
9005524124, 4066, Fundación para la prevención del cancer, FC
9010797188, 4440, Fundación TV Familia, FTV
8001811654, 4557, Fundamor, FUNDAMOR
8001811654, 4585, Fundamor bonos por la vida, FBOPORVI
9000671628, 9686, IG CEN Crist casa oración cabecera, ICCOCABECE
8001171921, 4978, IURD, IURD
8600411179, 4998, Teletón, TELETON
9004904736, 9285, Unidad de víctimas donaciones, VICTIMAS















