label,value
link_office_map, https://www.avvillas.com.co/cercademi/colombia/results-bogota/Ver%20Todas
link_tu_plus, https://www.tuplus.com.co/wps/portal/portal-lealtad/web/como-funciona/como-ganar
link_cost_table, https://www.avvillas.com.co/wps/portal/avvillas/banco/banca-empresarial/informacion-general-empresarial/tasas-tarifas
link_promotion, https://www.avvillas.com.co/wps/portal/avvillas/banco/dejate-sorprender/#dejate-sorprender?utm_source=directo[…]renderAPP&utm_term=ZonaTransaccional
link_digital_bank, https://www.avvillas.com.co/bancadigital
link_credit_card, https://www.avvillas.com.co/solicitar-tarjeta-credito/inicio
link_savings_account, https://www.avvillas.com.co/abrir-cuenta-ahorro/?utm_source=directo&utm_medium=PB&utm_campaign=solicitud_cda&utm_term=BannerCanalesIcon
link_cdt, https://www.avvillas.com.co/abrir-cdt-avvillas/
link_dla, https://www.avvillas.com.co/solicitar-credito-libre-inversion/?utm_source=directo&utm_medium=BancaVirtual&utm_campaign=CLI&utm_term=Banner&utm_content=44447
link_android, https://play.google.com/store/apps/details?id=com.grupoavalav1.bancamovil
link_ios, https://apps.apple.com/co/app/av-villas-app/id967304181
link_huawei, https://appgallery.huawei.com/
link_locations, https://www.avvillas.com.co/BuscadordePuntosAvVillas
link_terms_of_use, https://www.avvillas.com.co/bancadigital/assets/pdf/condiciones-de-uso.pdf
link_security_alert, https://www.avvillas.com.co/avvillas/seccionseguridad/index.html

