identity_code,ean_code,service_code,initial,length
,6547891238521,00000001,0,18
,7709998392397,00000003,1,10
,7707173981008,00000005,21,12
,7707173988007,00000005,21,12
,7707181500017,00000007,0,12
,7707175320011,00000014,21,10
,5664654554454,00000015,20,20
,7707200485271,00000018,21,11
,7707200936674,00000018,21,11
,7707206672699,00000018,21,11
,7709998001145,00000018,21,11
,7709998003514,00000018,21,11
,7709998014633,00000019,21,14
,7707266014651,00000020,21,10
,7707177630063,00000021,0,12
,7709998001183,00000023,21,9
,765655677543,00000024,1,3
,7707209914253,00000043,23,8
,7707316036008,00000054,1,12
,7701055000054,00000056,1,12
,7707247180153,00000057,1,10
,7707247180000,00000058,0,12
,7707232377896,00000059,0,10
,7707305460012,00000062,1,14
,7707263468457,00000076,1,6
,0008912002008,00000079,1,12
,7707183670022,00000080,0,13
,1111222233336,00000081,0,16
,7709998850729,00000084,0,10
,7709998000414,00000087,1,12
,7709998026025,00000090,0,8
,7707220079528,00000094,1,13
,7709998002777,00000098,0,10
,7709998000834,00000104,21,16
,7709998307575,00000108,1,10
,7709998001794,00000113,21,14
,7707198435777,00000122,1,10
,7709998732421,00000141,21,8
,7709998729407,00000149,21,8
,7707332442272,00000164,21,15
,7707265387640,00000180,1,12
,7707202600856,00000192,0,11
,7707208210011,00000219,21,7
,7709998016224,00000236,0,8
,7709998002425,00000254,1,10
,7707316035002,00000299,21,12
,7707202602140,00000311,1,18
,0000000019658,00000338,1,14
,7709998937215,00000360,21,8
,7709998006560,00000442,1,14
,987654321000,00000513,10,9
,7709998018464,00000602,1,8
,7709998320352,00000615,1,16
,7709998003781,00000631,1,12
,7702963000020,00000665,1,10
,7702962000021,00000666,1,10
,789655441256,00000711,1,12
,1010101010101,00000717,1,12
,789655441256,00000719,1,12
,9854210012366,00000756,0,15
,7709998003798,00000791,0,10
,9874563211236,00000801,0,15
,8989898989891,00000808,0,30
,7702239900660,00000828,0,8
,7707229253257,00000832,1,10
,7709998000766,00000840,23,18
,7709998000728,00000841,1,8
,0000000016011,00000847,1,5
,7709998017870,00000867,0,8
,1428503758911,00000911,1,8
,0000000050282,00000928,1,12
,7709998205406,00000963,1,10
,7709998001299,00000993,1,5
,7709998735538,00001025,21,10
,7702049140022,00001028,1,12
,7709998916401,00001033,1,12
,7709998002753,00001041,1,10
,7709998803473,00001043,1,18
,7703430002349,00001046,1,18
,0000000016518,00001065,1,18
,7709998017863,00001066,1,12
,7709998173002,00001079,21,17
,7707332443422,00001098,1,12
,7707332442289,00001100,1,12
,7707262083811,00001101,1,12
,7709998377202,00001106,0,18
,7707223990066,00001107,0,18
,0000000016469,00001150,1,15
,7709998213999,00001168,1,18
,7709998007611,00001183,1,10
,7709998006270,00001201,1,18
,7709998482630,00001205,1,18
,7702004009302,00001296,1,16
,123456789012,00001313,1,13
,7709998765832,00001349,1,16
,0000000019211,00001351,1,11
,7707263117782,00001373,1,12
,7709998371804,00001384,1,8
,7709998000926,00001387,0,12
,0000000016744,00001425,1,18
,7709998001770,00001481,0,12
,7707233520000,00001493,1,16
,0000000051188,00001495,1,12
,1234567891011,00001500,1,10
,7709998007970,00001502,0,12
,7709998012226,00001513,1,12
,0000000051028,00001514,1,8
,7709998022256,00001517,1,12
,0000487013625,00001521,1,12
,0000000050997,00001538,1,18
,0000000051099,00001540,1,11
,0000000051098,00001541,1,11
,7707233521731,00001547,1,16
,7709998004825,00001550,1,8
,7709998002814,00001587,1,12
,7707270918051,00001692,1,18
,7702667167579,00001751,1,9
,7702477111939,00001762,1,12
,7707237314254,00001848,1,8
,7709998000896,00001849,1,8
,7709998000896,00001849,1,8
,7709998056305,00001857,1,12
,0000000016785,00001858,1,18
,0000000016784,00001859,1,16
,0000000016832,00001860,1,18
,0000000016882,00001861,1,18
,0000000016964,00001862,1,15
,0000000016987,00001863,1,15
,0000000016746,00001865,1,18
,7701001980041,00001866,1,10
,0000000050992,00001868,1,3
,7707231190014,00001869,1,8
,7707301390016,00001870,1,12
,7707301380017,00001871,1,12
,0000000016966,00001872,1,5
,7707226190180,00001875,21,16
,7707226190081,00001876,21,16
,7707226197004,00001879,1,16
,7707226190029,00001880,1,16
,7707226190012,00001881,1,16
,7707226193945,00001882,1,16
,7707226196014,00001883,1,16
,7709998005587,00001884,1,12
,7709998003415,00001888,0,12
,7709998003392,00001893,0,12
,709998011311,00001901,1,8
,7709998003439,00001902,0,12
,7709998003422,00001903,0,12
,7709998003408,00001904,0,12
,7709998003446,00001905,0,12
,7709998006522,00001936,0,16
,0000000011687,00001941,1,18
,7709998005594,00001960,1,12
,0000000011071,00002037,1,18
,7707263117775,00002047,1,12
,7707209983631,00002105,0,10
,7709998021150,00002133,1,8
,7709998775060,00002134,1,8
,7707243584290,00002138,0,6
,7709998012233,00002164,1,10
,7709998007468,00002183,0,13
,7709998975804,00002184,0,13
,7707199806019,00002185,0,13
,0000000017758,00002188,1,18
,7707289180029,00002206,0,12
,0000000000916,00002226,21,3
,0000000018008,00002237,1,18
,7709998996441,00002261,1,10
,7707224362435,00002297,1,8
,7709998006065,00002299,1,12
,7709998001213,00002300,1,18
,7709998008175,00002317,1,12
,7707316033007,00002358,1,12
,7707316037005,00002359,1,10
,7707316035001,00002360,1,10
,7707316032000,00002361,1,12
,7707316034004,00002362,1,12
,7709998503113,00002392,0,8
,7709998000445,00002393,1,18
,7709998651678,00002400,1,10
,7709998007390,00002418,1,8
,7709998000322,00002440,1,8
,7709998000322,00002440,1,8
,7707272307075,00002441,1,8
,7709998016538,00002504,1,8
,7708110086846,00002512,1,8
,7709998004122,00002522,0,10
,7709998697843,00002578,21,12
,7709998921139,00002579,1,12
,7709998021198,00002580,21,12
,770999800447,00002591,1,8
,7702914000000,00002783,1,16
,7709998021150,00002806,1,8
,7702120009347,00002987,1,10
,7707262083811,00002991,1,16
,7338592613002,00003002,1,40
,7709998006898,00003078,21,10
,1111111111112,00003084,1,20
,9876543321098,00003131,1,31
,7709998005006,00003157,1,8
,7709998014863,00003162,1,8
,7709998141735,00003349,21,10
,7702582000043,00003425,0,12
,7707247180153,00003439,1,10
,7707247180153,00003440,1,10
,7706477000002,00003519,1,8
,7709998529854,00003538,1,14
,7709998021006,00003545,1,9
,7709998668980,00003551,1,14
,7707223940016,00003635,1,10
,7707223946018,00003636,1,10
,7707223946025,00003637,1,10
,7707262084283,00003639,1,12
,7707223943475,00003711,1,10
,7709998090644,00003787,21,16
,7707262084313,00003846,1,12
,7709998086036,00003899,1,12
,7709998501492,00003908,1,16
,0000000012196,00003955,1,12
,7709998001725,00003957,1,6
,7709998011212,00003980,1,10
,0000000022061,00004037,21,16
,7709998866799,00004054,0,12
,7709998012073,00004074,1,8
,0000000054011,00004117,26,18
,7709998885653,00004119,1,8
,7709998007833,00004123,1,12
,7709998672475,00004138,1,14
,7709998011434,00004142,0,12
,7709998011427,00004144,0,12
,7709998015746,00004239,1,8
,7709998610705,00004260,1,8
,7709998937214,00004261,0,8
,7709998585638,00004262,1,8
,7709998001510,00004346,1,10
,7709998021150,00004360,1,14
,7709998021167,00004361,1,14
,7709998533127,00004442,0,12
,7703032025940,00004459,1,10
