value,label
001,ACUICULTURA
002,ADMINISTRACION DE EMPRESAS
003,ADMINISTRACION Y GESTION PUBLICA
004,AGRONEGOCIOS
005,AGRONOMIA
006,INGENIERIA DE SISTEMAS
007,ANTROPOLOGIA
008,ARQUEOLOGIA
009,ARQUITECTURA
010,ARTE DRAMATICO
011,ASTRONOMIA
012,BELLAS ARTES
013,BIBLIOTECOLOGIA/DOCUMENTACION
014,BIOLOGIA
015,BIOLOGIA MARINA
016,BIOQUIMICA
017,CARTOGRAFIA
018,CIENCIAS FISICAS
019,CIENCIAS POLITICAS
020,COMERCIO INTERNACIONAL / EXTERIOR
021,COMPUTACION
022,COMUNICACION AUDIOVISUAL
023,CONSTRUCCION
024,CONTADURIA/AUDITORIA
025,DANZA
026,DERECHOS/LEYES/ABOGACIA
027,DIBUJO TECNICO
028,DISEÑO DE VESTUARIO/TEXTIL/MODAS
029,DISEÑO GRAFICO
030,DISEÑO INDUSTRIAL
031,ECOLOGIA
032,ECONOMIA
033,DOCENTE
034,ELECTRONICA
035,ENFERMERIA
036,ESTADISTICA
037,FILOSOFIA
038,FILOLOGIA
039,FINANZAS BANCARIAS
040,FISIOTERAPIA
041,FOTOGRAFIA
042,FUERZAS ARMADAS/MILICIA
043,GASTRONOMIA/COCINA
044,GEOLOGIA
045,GEOMENSURA/TOPOGRAFIA
046,HISTORIA/GEOGRAFIA
047,HOTELERIA
048,INGENIERIA AEROESPACIAL
049,INGENIERIA AMBIENTAL
050,INGENIERIA DE SONIDO
051,INGENIERIA DE TRANSPORTE
052,INGENIERIA ELECTRICA
053,INGENIERIA ELECTRONICA
054,INGENIERIA EN ALIMENTOS
055,INGENIERIA EN CONSTRUCCION
056,INGENIERIA EN MINAS
057,INGENIERIA EN OBRAS CIVILES
058,INGENIERIA EN TELECOMUNICACIONES
059,INGENIERIA FORESTAL
060,INGENIERIA HIDRAULICA
061,INGENIERIA INDUSTRIAL
062,INGENIERIA INFORMATICA
063,INGENIERIA MATEMATICA
064,INGENIERIA MECANICA/METALURGICA
065,INGENIERIA NAVAL
066,INGENIERIA PESQUERA/ CULTIVOS MARINOS
067,INGENIERIA QUIMICA
068,LABORATORIO (MECANICA) DENTAL
069,LITERATURA
070,MARKETING/MERCADOTECNIA
071,MATEMATICAS
072,MECANICA
073,MEDICINA
074,MUSICA
075,NUTRICION
076,OCEANOGRAFIA
077,ODONTOLOGIA
078,ORFEBRERIA/JOYERIA
079,PAISAJISMO
080,PERIODISMO/COMUNICACION SOCIAL
081,PROGRAMACION
082,PUBLICIDAD
083,QUIMICA
084,QUIMICA Y FARMACIA
085,RECURSO HUMANOS/REL. INDUSTRIALES
086,RELACIONES INTERNACIONALES
087,RELACIONES PUBLICAS
088,SECRETARIADO
089,SEGURIDAD INDUSTRIAL
090,SICOLOGIA
091,SICOPEDAGOGIA/EDUCACION DIFERENCIAL-ESPECIAL
092,SOCIOLOGIA
093,TECNOLOGIA MEDICA / LABORATORIO
094,TEOLOGIA
095,TERAPIA OCUPACIONAL
096,TRABAJO SOCIAL
097,TRADUCCION/ INTERPRETE
098,TURISMO
099,VETERINARIA
101,MILITAR EN SERVICIO ACTIVO
102,POLICIA EN SERVICIO ACTIVO
103,MIEMBOS DE ORGANISMOS DE SEGURIDAD O INTELIGENCIA BIEN SEAN PUBLICOS, PRIVADOS O DEL ESTADO
104,JUECES PENALES
112,MINEROS
114,AVIACIÓN
123,COSMETOLOGIA
